岗位名称,分类,薪资,公司地址,工作经验,学历要求,公司名称,岗位描述
大数据开发工程师,计算机软件,2-3万,上海·浦东新区,5-7年,本科,丰盛信息科技（上海）有限公司,"['spark\n大数据\n数据分析\npython\n五险一金\n定期体检',"
架构工程师岗（大数据平台方向）（J10072）,计算机软件,2-3万,广州·黄埔区,5-7年,本科,南方电网数字平台科技（广东）有限公司,"'大数据平台\n大数据\n架构规划\n数据分析\n五险一金\n员工旅游\n通讯补贴',"
大数据分析开发工程师,计算机软件,1.8-2万,深圳·福田区,5-7年,本科,神州数码信息服务股份有限公司,"'hive\n银保监\nhql\nhadoop\n数据分析\n计算机\n大数据\n五险一金',"
大数据研发工程师,通信/电信/网络设备,1-1.5万·13薪,成都·武侯区,3-4年,大专,四川九强通信科技有限公司,"'hadoop\n数据库\n数据分析\n五险一金\n年终奖金\n补充医疗保险\n定期体检',"
大数据工程师,建筑/建材/工程,8千-1.6万,广州·番禺区,2年,本科,广东金合成建材实业有限公司,"'java\n大数据\n开源框架\n大数据系统\n专业培训\n带薪年假\n弹性工作',"
大数据建模/开发工程师（成都）,计算机软件,8千-1.2万·13薪,成都,1年,本科,深圳天源迪科信息技术股份有限公司成都办事处,"'数据模型\n数据分析\n五险一金\n年终奖金\n定期体检\n年底双薪\n周末双休',"
大数据开发工程师,计算机软件,1-1.5万,上海,2年,本科,上海爱信诺航天信息有限公司,"'数据\nhadoop\nspark\n补充医疗保险\n补充公积金\n交通补贴\n餐饮补贴',"
云高级大数据工程师,计算机服务(系统、数据服务、维修),1.8-2.6万·13薪,上海·静安区,5-7年,本科,上海恒驰信息系统有限公司,"'五险一金\n交通补贴\n餐饮补贴\n通讯补贴\n专业培训\n年终奖金\n定期体检',"
大数据工程师,服装/纺织/皮革,1.5-2.5万·13薪,广州·海珠区,3-4年,本科,长胜纺织科技发展（上海）有限公司,"'五险一金\n绩效奖金\n专业培训\n餐饮补贴\n节日福利',"
大数据工程师,机械/设备/重工,30-40万/年,上海·黄浦区,5-7年,本科,上海电气自动化集团,"'五险一金\n餐饮补贴\n通讯补贴',"
大数据工程师,计算机软件,1.5-2万,上海·杨浦区,3-4年,大专,苏州维莱科软件有限公司,"'spark\njava\n五险一金\n餐饮补贴\n绩效奖金\n年终奖金\n员工旅游',"
大数据开发工程师,网络游戏,1.2-2.4万·14薪,广州·黄埔区,无需经验,硕士,广州多益网络股份有限公司,"'大数据\n互联网百强',"
大数据平台架构师,通信/电信/网络设备,1.5-2.5万,广州,5-7年,本科,广州广哈通信股份有限公司,"'c++\nLinux\n五险一金\n专业培训\n年终奖金\n弹性工作\n定期体检',"
大数据开发工程师,计算机软件,1.5-2万·13薪,广州,5-7年,本科,亚信科技（中国）有限公司,"'hadoop\nhive\nspark\nhbase\n五险一金\n补充医疗保险\n通讯补贴\n绩效奖金',"
大数据开发工程师,计算机软件,1.2-1.8万,上海·黄浦区,2年,本科,苏州维莱科软件有限公司,"'大数据\n大数据开发\n五险一金\n年终奖金',"
大数据开发工程师,餐饮业,1.2-1.6万,上海·闵行区,3-4年,大专,快乐蜂（中国）餐饮管理有限公司,"'java\nFlink\nspark\nkafka\nDoris\nHadoop\nPython\nlinux\n五险一金',"
大数据开发工程师,通信/电信/网络设备,1-1.5万,成都·武侯区,3-4年,本科,四川九强通信科技有限公司,"'大数据\nhadoop\nspark\njava\n开发\n熟悉底层架构\n五险一金\n绩效奖金',"
大数据算法工程师,仪器仪表/工业自动化,1.2-2.4万·14薪,杭州·余杭区,3-4年,大专,浙江威星智能仪表股份有限公司,"'大数据\n算法\n深度学习\n大数据分析\n五险一金\n餐饮补贴\n定期体检',"
大数据开发工程师,计算机软件,2-2.5万,上海·嘉定区,5-7年,大专,苏州维莱科软件有限公司,"'五险一金\n年终奖金\n弹性工作',"
大数据开发工程师,计算机服务(系统、数据服务、维修),8千-1.6万,广州·天河区,2年,本科,广州云杉信息科技有限公司,"['大数据\n数据库\n数据分析\n周末双休\n五险一金\n绩效奖金\n专业培训',"
大数据ETL工程师,电子技术/半导体/集成电路,2-4万,北京·海淀区,3-4年,硕士,中国兵器工业计算机应用技术研究所,"'五险一金\n带薪年假\n餐补\n定期体检',"
大数据开发工程师,计算机软件,1-1.3万,广州·越秀区,2年,本科,广东嘉盛达科技有限公司,"'hive\nspark\n数据库\nhadoop\n年休假\n法定假期\n五险保险\n双休',"
大数据开发工程师,计算机软件,1.5-2.5万,武汉·洪山区,3-4年,本科,湖北普罗格科技股份有限公司,"'大数据\nspark\n数据分析\n五险一金\n员工旅游\n餐饮补贴\n通讯补贴',"
大数据开发工程师,汽车,7-9千,秦皇岛,3-4年,本科,中信戴卡股份有限公司,"'五险一金\n补充医疗保险\n专业培训\n定期体检\n免费班车\n企业年金',"
大数据开发工程师,通信/电信运营、增值服务,1-1.2万,北京,2年,本科,移动设计院监理公司,"'Hadoop\nHbase\nHDFS\nHive\nYarn\nZookeeper\nKafka\nRedis',"
大数据开发工程师,计算机软件,1-1.3万,广州·越秀区,2年,本科,广东嘉盛达科技有限公司,"'年休假\n法定假期\n五险保险\n双休\n定期体检',"
大数据开发,计算机软件,6千-1万,无锡,2年,本科,上海比孚信息科技有限公司,"'oracle\ndb2\nsqlserver\n数据库\n数据仓库\nbi报表\n员工旅游\n团建活动',"
大数据开发工程师,计算机软件,8千-1.5万·13薪,福州,3-4年,本科,福建星汉信息科技有限公司,"'大数据开发\n大数据\n开发\n五险一金\n年终奖金\n周末双休',"
大数据开发工程师,房地产,8千-1万,广州·花都区,1年,本科,广州市合易置业有限公司,"'补充医疗保险\n专业培训\n绩效奖金',"
大数据建模工程师,计算机软件,8千-1.6万·13薪,拉萨,3-4年,本科,深圳天源迪科信息技术股份有限公司成都办事处,"'五险一金\n年终奖金\n定期体检\n年底双薪\n周末双休\n过节费\n生日礼金',"
