岗位名称,分类,薪资,公司地址,工作经验,学历要求,公司名称,岗位描述
大数据开发工程师,计算机软件,24-36万,上海,5-7年,本科,丰盛信息科技（上海）有限公司,"spark,大数据,数据分析,python,五险一金,定期体检"
架构工程师岗（大数据平台方向）（J10072）,计算机软件,24-36万,广州,5-7年,本科,南方电网数字平台科技（广东）有限公司,"大数据平台,大数据,架构规划,数据分析,五险一金,员工旅游,通讯补贴"
大数据分析开发工程师,计算机软件,21.6-24万,深圳,5-7年,本科,神州数码信息服务股份有限公司,"hive,银保监,hql,hadoop,数据分析,计算机,大数据,五险一金"
大数据研发工程师,通信/电信/网络设备,13-19.5万,成都,3-4年,大专,四川九强通信科技有限公司,"hadoop,数据库,数据分析,五险一金,年终奖金,补充医疗保险,定期体检"
大数据工程师,建筑/建材/工程,9.6-19.2万,广州,2年,本科,广东金合成建材实业有限公司,"java,大数据,开源框架,大数据系统,专业培训,带薪年假,弹性工作"
大数据建模/开发工程师（成都）,计算机软件,10.4-15.6万,成都,1年,本科,深圳天源迪科信息技术股份有限公司成都办事处,"数据模型,数据分析,五险一金,年终奖金,定期体检,年底双薪,周末双休"
大数据开发工程师,计算机软件,12-18万,上海,2年,本科,上海爱信诺航天信息有限公司,"数据,hadoop,spark,补充医疗保险,补充公积金,交通补贴,餐饮补贴"
云高级大数据工程师,计算机服务(系统、数据服务、维修),23.4-33.8万,上海,5-7年,本科,上海恒驰信息系统有限公司,"五险一金,交通补贴,餐饮补贴,通讯补贴,专业培训,年终奖金,定期体检"
大数据工程师,服装/纺织/皮革,19.5-32.5万,广州,3-4年,本科,长胜纺织科技发展（上海）有限公司,"五险一金,绩效奖金,专业培训,餐饮补贴,节日福利"
大数据工程师,机械/设备/重工,360-480万,上海,5-7年,本科,上海电气自动化集团,"五险一金,餐饮补贴,通讯补贴"
大数据工程师,计算机软件,18-24万,上海,3-4年,大专,苏州维莱科软件有限公司,"spark,java,五险一金,餐饮补贴,绩效奖金,年终奖金,员工旅游"
大数据开发工程师,网络游戏,16.8-33.6万,广州,无需经验,硕士,广州多益网络股份有限公司,"大数据,互联网百强"
大数据平台架构师,通信/电信/网络设备,18-30万,广州,5-7年,本科,广州广哈通信股份有限公司,"c++,Linux,五险一金,专业培训,年终奖金,弹性工作,定期体检"
大数据开发工程师,计算机软件,19.5-26万,广州,5-7年,本科,亚信科技（中国）有限公司,"hadoop,hive,spark,hbase,五险一金,补充医疗保险,通讯补贴,绩效奖金"
大数据开发工程师,计算机软件,14.4-21.6万,上海,2年,本科,苏州维莱科软件有限公司,"大数据,大数据开发,五险一金,年终奖金"
大数据开发工程师,餐饮业,14.4-19.2万,上海,3-4年,大专,快乐蜂（中国）餐饮管理有限公司,"java,Flink,spark,kafka,Doris,Hadoop,Python,linux,五险一金"
大数据开发工程师,通信/电信/网络设备,12-18万,成都,3-4年,本科,四川九强通信科技有限公司,"大数据,hadoop,spark,java,开发,熟悉底层架构,五险一金,绩效奖金"
大数据算法工程师,仪器仪表/工业自动化,16.8-33.6万,杭州,3-4年,大专,浙江威星智能仪表股份有限公司,"大数据,算法,深度学习,大数据分析,五险一金,餐饮补贴,定期体检"
大数据开发工程师,计算机软件,24-30万,上海,5-7年,大专,苏州维莱科软件有限公司,"五险一金,年终奖金,弹性工作"
大数据开发工程师,计算机服务(系统、数据服务、维修),9.6-19.2万,广州,2年,本科,广州云杉信息科技有限公司,"大数据,数据库,数据分析,周末双休,五险一金,绩效奖金,专业培训"
大数据ETL工程师,电子技术/半导体/集成电路,24-48万,北京,3-4年,硕士,中国兵器工业计算机应用技术研究所,"五险一金,带薪年假,餐补,定期体检"
大数据开发工程师,计算机软件,12-15.6万,广州,2年,本科,广东嘉盛达科技有限公司,"hive,spark,数据库,hadoop,年休假,法定假期,五险保险,双休"
大数据开发工程师,计算机软件,18-30万,武汉,3-4年,本科,湖北普罗格科技股份有限公司,"大数据,spark,数据分析,五险一金,员工旅游,餐饮补贴,通讯补贴"
大数据开发工程师,汽车,84-10.8万,秦皇岛,3-4年,本科,中信戴卡股份有限公司,"五险一金,补充医疗保险,专业培训,定期体检,免费班车,企业年金"
大数据开发工程师,通信/电信运营、增值服务,12-14.4万,北京,2年,本科,移动设计院监理公司,"Hadoop,Hbase,HDFS,Hive,Yarn,Zookeeper,Kafka,Redis"
大数据开发工程师,计算机软件,12-15.6万,广州,2年,本科,广东嘉盛达科技有限公司,"年休假,法定假期,五险保险,双休,定期体检"
